Feature,Contribution
AQI_t+2 > 0.34,0.14275550914509352
AQI_t+3 > 0.34,0.12021195612421438
weekday_1 <= 0.00,0.10407770978478585
weekday_5 <= 0.00,0.09903894168426305
weekday_4 <= 0.00,0.09788697254094127
AQI_t+1 > 0.34,0.09244005749590133
weekday_6 > 0.00,-0.08909595727766835
weekday_2 <= 0.00,0.08471213934221557
weekday_6 > 0.00,-0.05672288390909532
weekday_5 <= 0.00,0.05659068012325209
weekday_1 <= 0.00,0.05005375172838231
weekday_2 <= 0.00,0.048254193491491855
season_Winter <= 0.00,0.04819884614593973
season_Winter <= 0.00,-0.041827394701261705
weekday_3 <= 0.00,0.03663902855189805
AQI > 0.34,-0.03598159506144515
weekday_3 <= 0.00,0.02611118499761599
season_Spring <= 0.00,0.023685477914774388
AQI_roll_mean_3 > 0.35,-0.020598471030271258
AQI_lag_2 > 0.34,-0.014820009612205007
